시점,해외유입,국내발생,신규
2020. 04. 01,-,-,101
2020. 04. 02,-,-,89
2020. 04. 03,-,-,86
2020. 04. 04,-,-,94
2020. 04. 05,-,-,81
2020. 04. 06,-,-,47
2020. 04. 07,-,-,47
2020. 04. 08,-,-,53
2020. 04. 09,23,16,39
2020. 04. 10,5,22,27
2020. 04. 11,12,18,30
2020. 04. 12,24,8,32
2020. 04. 13,16,9,25
2020. 04. 14,12,15,27
2020. 04. 15,11,16,27
2020. 04. 16,11,11,22
2020. 04. 17,14,8,22
2020. 04. 18,9,9,18
2020. 04. 19,5,3,8
2020. 04. 20,7,6,13
2020. 04. 21,5,4,9
2020. 04. 22,6,5,11
2020. 04. 23,4,4,8
2020. 04. 24,2,4,6
2020. 04. 25,4,6,10
2020. 04. 26,9,1,10
2020. 04. 27,7,3,10
2020. 04. 28,12,2,14
2020. 04. 29,5,4,9
2020. 04. 30,4,0,4
2020. 05. 01,8,1,9
2020. 05. 02,6,0,6
2020. 05. 03,10,3,13
2020. 05. 04,8,0,8
2020. 05. 05,3,0,3
2020. 05. 06,2,0,2
2020. 05. 07,3,1,4
2020. 05. 08,11,1,12
2020. 05. 09,1,17,18
2020. 05. 10,8,26,34
2020. 05. 11,6,29,35
2020. 05. 12,5,22,27
2020. 05. 13,4,22,26
2020. 05. 14,3,26,29
2020. 05. 15,5,22,27
2020. 05. 16,10,9,19
2020. 05. 17,7,6,13
2020. 05. 18,10,5,15
2020. 05. 19,4,9,13
2020. 05. 20,8,24,32
2020. 05. 21,2,10,12
2020. 05. 22,9,11,20
2020. 05. 23,4,19,23
2020. 05. 24,8,17,25
2020. 05. 25,3,13,16
2020. 05. 26,3,16,19
2020. 05. 27,3,37,40
2020. 05. 28,11,68,79
2020. 05. 29,3,55,58
2020. 05. 30,12,27,39
2020. 05. 31,12,15,27
2020. 06. 01,5,30,35
2020. 06. 02,2,36,38
2020. 06. 03,3,46,49
2020. 06. 04,6,33,39
2020. 06. 05,5,34,39
2020. 06. 06,8,43,51
2020. 06. 07,4,53,57
